avgCost,classify,serviceRate,environmentRate,tel,tasteRate,rid,hours,address,name
552,"[""日式料理"",""居酒屋""]",0.75,0.8,02-2737-2843,0.8,28362,"[""18:00~01:00"",""00:00~01:00""]","25.02818901766,121.55156001782",喀佈貍-大眾和風洋食居酒屋(一店)
275,"[""異國料理"",""義式料理""]",0.7,0.75,02-2521-9822,0.85,67012,"[""17:30~22:00"",""11:30~16:00""]","25.051715000850002,121.52191300095004",螺絲瑪莉 Rose Mary
306,"[""日式料理"",""綜合日式料理""]",0.6,0.5,02-2389-2211,0.75,8940,"[""17:10~22:00"",""11:20~14:30""]","25.03991700297,121.5026590146",三味食堂日式料理
35,"[""咖啡、簡餐、茶"",""茶專賣""]",0.45,0.45,07-813-6485,0.7,973046,"[""09:30~21:30""]","22.57961201858,120.32276800356",東方傳奇養生茶-草衙店
728,"[""日式料理"",""生魚片、壽司專賣""]",0.65,0.7,02-2508-1268,0.8,119130,"[""06:00~24:00""]","25.06667301217,121.53710801326001",上引水產
365,"[""咖啡、簡餐、茶"",""咖啡專賣""]",0.8,0.85,02-2311-1127,0.8,151317,"[""11:00~23:00""]","25.04429501465,121.50701600974999",Oyami cafe
294,"[""日式料理"",""其他日式料理""]",0.45,0.45,02-2561-7859,0.75,9274,"[""11:30~14:30"",""17:30~21:00""]","25.05118201962,121.52367400644",肥前屋
370,"[""異國料理"",""法式料理""]",0.75,0.8,02-2593-1001,0.75,135709,"[""11:00~22:00""]","25.063810835184576,121.52300728474395",紗汀娜好食
79,"[""早餐"",""中式早餐""]",0.6,0.55,02-2392-2175,0.85,27702,"[""05:30~12:30""]","25.04419400884,121.52483400330006",阜杭豆漿店
423,"[""日式料理"",""其他日式料理""]",0.7,0.7,02-2506-0065,0.85,141831,"[""17:00~21:00"",""11:30~14:00""]","25.059461001699997,121.53393301459",小六食堂
337,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.8,0.75,02-2771-2977,0.75,612904,"[""11:00~22:00"",""11:00~23:00""]","25.04023400139,121.55390501748",UZNA OMOM 杏桃鬆餅屋
252,"[""冰品、飲料、甜湯"",""甜品、甜湯""]",0.65,0.65,02-2351-8802,0.85,114069,"[""12:00~22:00""]","25.029831019840003,121.5293470152",和茗甘味處
331,"[""主題特色餐廳"",""寵物餐廳""]",0.8,0.85,02-2731-8387,0.75,100314,"[""11:00~23:00""]","25.04107901354,121.54689501605995",貓咪先生的朋友
337,"[""異國料理"",""義式料理""]",0.75,0.8,02-2550-9092,0.8,141337,"[""17:30~22:00"",""11:30~14:30""]","25.05037601933,121.51975500827001",蘑菇森林義大利麵坊
171,"[""主題特色餐廳"",""懷舊主題""]",0.75,0.8,04-2227-1927,0.8,141715,"[""10:00~22:00""]","24.13781101447,120.6833570038",宮原眼科
536,"[""中式料理"",""台菜餐廳""]",0.8,0.85,02-2731-3833,0.75,941562,"[""11:30~24:00""]","25.0423964,121.54788980000001",叁和院 台灣風格飲食(忠孝旗艦店)
0,"[""咖啡、簡餐、茶"",""複合式""]",0.8,0.8,0966-368-911,0.7,1121735,"[""00:00~02:00"",""17:00~02:00""]","24.130382006890002,120.68422060272",和風歐店(忠孝店)
137,"[""冰品、飲料、甜湯"",""剉冰、豆花""]",0.9,0.8,02-2702-9506,0.85,84365,"[""11:00~23:00""]","25.034267431342016,121.55717075429064",芒果恰恰冰館(台北光復總店)
724,"[""日式料理"",""綜合日式料理""]",0.8,0.85,02-2772-8959,0.85,92695,"[""17:30~01:00"",""00:00~01:00""]","25.03932700879,121.55530101742998",炙酒食廚房
242,"[""異國料理"",""義式料理""]",0.8,0.85,04-2323-2979,0.8,1135337,"[""11:30~21:30""]","24.15742050133,120.66391220473",屋裡 In House 義式餐廳
297,"[""異國料理"",""義式料理""]",0.75,0.75,02-2311-0215,0.7,979300,"[""11:30~22:00""]","25.044707902739997,121.51565370424",瓦法奇朵Waffogato(台北車站店)
264,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.75,0.8,02-2657-4837,0.85,35880,"[""10:00~22:00""]","25.07078830216,121.57590430357004",亞尼克菓子工房(內湖店)
379,"[""咖啡、簡餐、茶"",""複合式""]",0.7,0.7,02-8773-9238,0.8,72446,"[""11:30~23:00"",""18:00~21:00"",""12:00~14:00"",""12:00~23:00"",""11:30~14:00""]","25.042177005,121.55254700077",Dazzling Cafe Pink(1店)
416,"[""異國料理"",""美式料理""]",0.75,0.8,02-2778-9993,0.8,589166,"[""10:30~22:00""]","25.040100802690002,121.55614000387",the Chips美式餐廳(光復店)
281,"[""異國料理"",""美式料理""]",0.9,0.85,04-2326-7339,0.9,102574,"[""08:30~22:00""]","24.15349201234,120.65914401623999",Burger Joint 7分So 漢堡 早午餐專賣(華美店)
268,"[""異國料理"",""美式料理""]",0.8,0.7,02-2656-2752,0.8,45908,"[""11:30~21:30""]","25.08123200412,121.57314601425999",the Chips美式餐廳(內湖店)
471,"[""日式料理"",""綜合日式料理""]",0.55,0.6,02-8792-8167,0.85,50731,"[""16:30~21:00""]","25.06887701525,121.57630801952",金泰日式料理
575,"[""鍋類"",""麻辣火鍋""]",0.75,0.85,02-8772-5728,0.8,43734,"[""18:00~22:30""]","25.04814701028,121.54024900925",私宅打邊爐(長安店)
340,"[""咖啡、簡餐、茶"",""複合式""]",0.7,0.7,02-2764-8181,0.8,625900,"[""11:30~22:00""]","25.043524010600002,121.56291601504998",Drip Cafe 好滴(松菸店)
269,"[""烘焙、甜點、零食"",""甜點專賣""]",0.7,0.65,02-2711-1912,0.85,33714,"[""12:00~21:00""]","25.043310012520003,121.54821700091",咖啡弄(忠孝店)
361,"[""燒烤類"",""炭烤串燒""]",0.7,0.7,02-2721-1119,0.8,45454,"[""18:00~22:00"",""11:30~14:00""]","25.04211600125,121.55363100608",鐵人九番料理亭
753,"[""異國料理"",""其他異國料理""]",0.85,0.9,02-8771-8285,0.85,938958,"[""11:30~23:00""]","25.03885991688,121.54766500289006",好米亞義法餐酒館
