tel,name,tasteRate,serviceRate,environmentRate,hours,address,avgCost,rid,classify
07-711-7889,心享素城蔬食餐廳,0,0,0,營業時間 暫無提供,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=22.615988404259998,120.33291821172/z=18/sid=1045444/","
  本店均消  暫無資料",http://www.ipeen.com.tw/shop/1045444-%E5%BF%83%E4%BA%AB%E7%B4%A0%E5%9F%8E%E8%94%AC%E9%A3%9F%E9%A4%90%E5%BB%B3,"主題特色餐廳,養生蔬食餐廳"
02-2593-1001,紗汀娜好食,0,0,0,08:00~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.063810835184576,121.52300728474395/z=18/sid=135709/","
  本店均消  370 元",http://www.ipeen.com.tw/shop/135709-%E7%B4%97%E6%B1%80%E5%A8%9C%E5%A5%BD%E9%A3%9F,"異國料理,法式料理"
02-2389-2211,三味食堂日式料理,0,0,0,營業時間 11:20~14:30，17:10~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.03991700297,121.5026590146/z=18/sid=8940/","
  本店均消  306 元",http://www.ipeen.com.tw/shop/8940-%E4%B8%89%E5%91%B3%E9%A3%9F%E5%A0%82%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86,"日式料理,綜合日式料理"
02-2508-1268,上引水產,0,0,0,營業時間 06:00~24:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.06667301217,121.53710801326001/z=18/sid=119130/","
  本店均消  728 元",http://www.ipeen.com.tw/shop/119130-%E4%B8%8A%E5%BC%95%E6%B0%B4%E7%94%A2,"日式料理,生魚片、壽司專賣"
02-2561-7859,肥前屋,0,0,0,11:30~14:30、,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.05118201962,121.52367400644/z=18/sid=9274/","
  本店均消  294 元",http://www.ipeen.com.tw/shop/9274-%E8%82%A5%E5%89%8D%E5%B1%8B,"日式料理,其他日式料理"
04-2227-1927,宮原眼科,0,0,0,營業時間 10:00~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=24.13781101447,120.6833570038/z=18/sid=141715/","
  本店均消  171 元",http://www.ipeen.com.tw/shop/141715-%E5%AE%AE%E5%8E%9F%E7%9C%BC%E7%A7%91,"主題特色餐廳,懷舊主題"
02-2392-2175,阜杭豆漿店,0,0,0,05:30~12:30,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.04419400884,121.52483400330006/z=18/sid=27702/","
  本店均消  79 元",http://www.ipeen.com.tw/shop/27702-%E9%98%9C%E6%9D%AD%E8%B1%86%E6%BC%BF%E5%BA%97,"早餐,中式早餐"
02-2311-1127,Oyami cafe,0,0,0,11:00~23:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.04429501465,121.50701600974999/z=18/sid=151317/","
  本店均消  365 元",http://www.ipeen.com.tw/shop/151317-Oyami-cafe,"咖啡、簡餐、茶,咖啡專賣"
02-2737-2843,喀佈貍-大眾和風洋食居酒屋(一店),0,0,0,未設定,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.02818901766,121.55156001782/z=18/sid=28362/","
  本店均消  552 元",http://www.ipeen.com.tw/shop/28362-%E5%96%80%E4%BD%88%E8%B2%8D-%E5%A4%A7%E7%9C%BE%E5%92%8C%E9%A2%A8%E6%B4%8B%E9%A3%9F%E5%B1%85%E9%85%92%E5%B1%8B-%E4%B8%80%E5%BA%97,"日式料理,居酒屋"
02-2771-2977,UZNA OMOM 杏桃鬆餅屋,0,0,0,營業時間 日~四11:00~22:00，五~六11:00~23:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.04023400139,121.55390501748/z=18/sid=612904/","
  本店均消  337 元",http://www.ipeen.com.tw/shop/612904-UZNA-OMOM-%E6%9D%8F%E6%A1%83%E9%AC%86%E9%A4%85%E5%B1%8B,"烘焙、甜點、零食,西點烘焙、麵包"
